Name,Email,Age,Income,Budget,Unnamed: 5
petra,petra@gmail.com,22,1000.0,500.0,
dina,dina@gmail.com,21,2000.0,340.0,
greg,greg@gmail.com,45,2500.0,600.0,
Petra,petranamatovu@gmail.com,22,1000.0,500.0,
petra,petra,56,3000.0,2000.0,
dfghj,conda activate base,34,5000.0,2000.0,
dea,di@gmail.com,22,2000.0,1000.0,
cd,cds@gmail.com,23,2000.0,1000.0,
Petra,life@gmail.com,22,5000.0,4000.0,
pepe,pepe@gmail.com,22,3000.0,2500.0,
ced,ced@gmail.com,20,100000.0,80000.0,
Petra,namuyiga@gmail.com,20,5000.0,3000.0,
Ben,ben@gmail.com,20,2000.0,1000.0,
Benni,benni@gmail.com,20,5000.0,3000.0,
ced,ced@gmail.com,20,100000.0,80000.0,
juju,juju@gmal.com,12,500098.0,210987.0,
13,juju@gmail.com,321,321.0,321.0,
Duck,duck@duckie.com,34,367000.0,286000.0,
